ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
20555;CANCINO† CACERES† LUZ HORTENSIA;COLO COLO 905;LIBRERIAS, PROVISIONES;COMERCIALES
20562;INMOBILIARIA REYDET† Y BRAITHWAITE LTDA.;CAMINO AL VOLCAN† 405;ARRIENDO DE COSAS MUEBLES (EXCEPTO AUTOMOVILES QUE VAN EN EL 71123, Y MAQUINARIAS Y EQUIPOS, QUE VAN EN EL 83301);COMERCIALES
20564;CIFUENTES VILLAGRAN CARMEN GLORIA;MIGUEL ANSORENA† 425;COMUNICACIONES;COMERCIALES
20570;ORTEGA† CASTRO† HECTOR† JUVENAL;GENERAL URRUTIA† 384;MONTAJE E INSTALACION DE ELEMENTOS PREFABRICADOS;COMERCIALES
20579;FERNANDEZ VIAL MONICA;AV. B. OHIGGINS 255 L 10;BOUTIQUES;COMERCIALES
20585;SOCIEDAD HARE TAU I MONY LIMITADA;AV. B. OHIGGINS 255 LOCAL 14;CASAS DE CAMBIO Y OPERACIONES CON DIVISAS, EXCEPTO BANCOS;COMERCIALES
20586;ZERENE BUAMSCHA† CHAFIC;MIGUEL ANSORENA† 322-A;BAZARES, CORDONERIAS Y PAQUETERIAS MEF;COMERCIALES
20589;COMERCIALIZADORA MARIA ISABEL INES GAJARDO P…REZ E.I.R.L;AV. B. OHIGGINS 261 LOCAL B;BAZAR - ARTESANIA;COMERCIALES
20600;RETAMAL ROMERO ELBA TEGUALDA;COLO COLO 530;HOTELES, HOSTERIAS, MOTELES, CABA—AS;COMERCIALES
20604;MATRIZ IDEAS S.A.;AVDA. BERNARDO OHIGGINS 112† L 12 - 13;ARTICULOS DEL HOGAR:COCINAS,MAQUINAS DE LAVAR,VENTILADORAS,ENCERADORAS,ESTUFAS,JUGUERAS,ETC.;COMERCIALES
20605;SANHUEZA SALDIAS LILIAN FILOMENA;VILLA EL BOSQUE† 26;JARDINES INFANTILES Y PARVULOS;COMERCIALES
20611;SOC COM ELIZABHET POVEDA E HIJA LTDA;AV. B. OHIGGINS 255 LOCAL 15;ARTICULOS TIPICOS† JOYERIA (ARTESANIA);COMERCIALES
20616;NEVADOS S.A.;CAMINO INTERNACIONAL KM. 7;ENSE—ANSA ESCUELAS PRIMARIAS Y SECUNDARIAS;COMERCIALES
