"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2018","5,633.40","5,613.14","5,641.18","5,609.80","-","0.36%"
"Apr 16, 2018","5,613.14","5,630.90","5,636.71","5,608.77","-","-0.32%"
"Apr 13, 2018","5,630.90","5,630.99","5,642.62","5,613.31","-","-0.00%"
"Apr 12, 2018","5,630.99","5,613.81","5,636.22","5,609.46","-","0.31%"
"Apr 11, 2018","5,613.81","5,605.86","5,621.18","5,588.98","-","0.14%"
"Apr 10, 2018","5,605.86","5,594.05","5,616.99","5,592.83","-","-0.48%"
"Apr 09, 2018","5,632.71","5,621.73","5,637.37","5,601.70","-","0.89%"
"Apr 06, 2018","5,583.15","5,607.03","5,607.29","5,562.16","-","-0.43%"
"Apr 05, 2018","5,607.03","5,542.79","5,625.14","5,542.79","-","1.16%"
"Apr 04, 2018","5,542.79","5,534.40","5,546.22","5,498.97","-","0.15%"
"Apr 03, 2018","5,534.40","5,502.60","5,544.13","5,502.60","-","0.58%"
"Apr 02, 2018","5,502.60","5,542.22","5,544.93","5,496.40","-","-0.71%"
"Mar 29, 2018","5,542.22","5,466.62","5,547.65","5,460.90","-","1.38%"
"Mar 28, 2018","5,466.62","5,480.31","5,489.45","5,452.49","-","-0.25%"
"Mar 27, 2018","5,480.31","5,446.77","5,491.82","5,446.77","-","0.62%"
"Mar 26, 2018","5,446.77","5,490.40","5,527.69","5,441.34","-","-0.79%"
"Mar 23, 2018","5,490.24","5,515.99","5,515.99","5,473.76","-","-0.47%"
"Mar 22, 2018","5,515.99","5,542.10","5,542.31","5,484.56","-","-0.35%"
"Mar 21, 2018","5,535.49","5,542.93","5,554.16","5,529.64","-","-0.13%"
"Mar 20, 2018","5,542.93","5,576.54","5,578.43","5,538.18","-","-0.60%"
"Mar 19, 2018","5,576.54","5,608.32","5,610.40","5,549.26","-","-0.36%"
"Mar 16, 2018","5,596.68","5,587.16","5,608.41","5,577.19","-","0.17%"
"Mar 15, 2018","5,587.16","5,618.38","5,633.15","5,575.67","-","-0.56%"
"Mar 14, 2018","5,618.38","5,631.28","5,648.81","5,609.50","-","-0.23%"
"Mar 13, 2018","5,631.28","5,653.42","5,663.14","5,623.40","-","-0.39%"
"Mar 12, 2018","5,653.42","5,637.04","5,659.94","5,631.35","-","0.29%"
"Mar 09, 2018","5,637.04","5,576.37","5,643.92","5,570.49","-","1.09%"
"Mar 08, 2018","5,576.37","5,549.64","5,577.98","5,538.66","-","0.48%"
"Mar 07, 2018","5,549.64","5,548.21","5,557.28","5,529.46","-","0.03%"
"Mar 06, 2018","5,548.21","5,538.52","5,567.36","5,533.95","-","0.17%"
"Mar 05, 2018","5,538.52","5,545.48","5,551.57","5,511.89","-","-0.13%"
"Mar 02, 2018","5,545.48","5,527.92","5,561.58","5,484.73","-","0.32%"
"Mar 01, 2018","5,527.92","5,602.83","5,605.29","5,521.94","-","-1.34%"
"Feb 28, 2018","5,602.83","5,641.05","5,646.40","5,598.13","-","-0.69%"
"Feb 27, 2018","5,642.04","5,669.86","5,704.43","5,628.37","-","-0.49%"
"Feb 26, 2018","5,669.86","5,742.54","5,746.61","5,666.11","-","-1.27%"
"Feb 23, 2018","5,742.54","5,726.09","5,753.53","5,709.04","-","0.29%"
"Feb 22, 2018","5,726.09","5,706.44","5,731.89","5,698.07","-","0.34%"
"Feb 21, 2018","5,706.54","5,672.87","5,714.57","5,657.77","-","0.58%"
"Feb 20, 2018","5,673.42","5,628.99","5,680.37","5,595.40","-","0.79%"
"Feb 19, 2018","5,628.99","5,623.81","5,639.45","5,617.20","-","0.13%"
"Feb 16, 2018","5,621.67","5,630.06","5,654.55","5,609.10","-","-0.15%"
"Feb 15, 2018","5,630.06","5,560.38","5,643.23","5,560.38","-","1.25%"
"Feb 14, 2018","5,560.38","5,504.63","5,566.05","5,500.58","-","1.09%"
"Feb 13, 2018","5,500.58","5,565.67","5,568.58","5,494.57","-","-1.02%"
"Feb 12, 2018","5,557.07","5,549.15","5,631.18","5,546.77","-","0.14%"
"Feb 09, 2018","5,549.15","5,651.58","5,658.23","5,525.77","-","-1.81%"
"Feb 08, 2018","5,651.58","5,754.15","5,762.60","5,645.39","-","-1.72%"
"Feb 07, 2018","5,750.61","5,709.48","5,762.33","5,709.34","-","0.94%"
"Feb 06, 2018","5,697.28","5,713.27","5,713.27","5,606.73","-","-0.60%"
"Feb 05, 2018","5,731.47","5,825.99","5,825.99","5,714.80","-","-1.62%"
"Feb 02, 2018","5,825.99","5,863.10","5,867.62","5,805.72","-","-0.57%"
"Feb 01, 2018","5,859.27","5,855.38","5,894.93","5,853.90","-","0.07%"
"Jan 31, 2018","5,855.38","5,859.61","5,882.93","5,839.79","-","-0.07%"
"Jan 30, 2018","5,859.61","5,881.04","5,885.26","5,829.90","-","-0.35%"
"Jan 29, 2018","5,880.47","5,845.01","5,890.12","5,842.11","-","0.42%"
"Jan 26, 2018","5,855.67","5,811.54","5,863.68","5,787.46","-","0.76%"
"Jan 25, 2018","5,811.54","5,802.89","5,846.13","5,786.22","-","0.23%"
"Jan 24, 2018","5,798.25","5,807.19","5,815.30","5,788.33","-","-0.03%"
"Jan 23, 2018","5,799.81","5,827.91","5,836.23","5,789.57","-","-0.48%"
"Jan 22, 2018","5,827.91","5,861.91","5,867.12","5,809.37","-","-0.48%"
"Jan 19, 2018","5,856.27","5,843.51","5,874.76","5,811.51","-","0.29%"
"Jan 18, 2018","5,839.37","5,794.03","5,845.72","5,780.32","-","0.92%"
"Jan 17, 2018","5,786.15","5,727.40","5,803.65","5,722.33","-","0.70%"
"Jan 15, 2018","5,745.95","5,734.00","5,759.53","5,734.00","-","0.22%"
"Jan 12, 2018","5,733.35","5,717.65","5,740.63","5,706.08","-","0.27%"
"Jan 11, 2018","5,717.65","5,681.96","5,720.47","5,675.03","-","0.70%"
"Jan 10, 2018","5,678.09","5,710.47","5,710.94","5,666.56","-","-0.56%"
"Jan 09, 2018","5,709.80","5,705.61","5,715.34","5,692.12","-","0.07%"
"Jan 08, 2018","5,705.61","5,695.43","5,719.54","5,689.67","-","0.18%"
"Jan 05, 2018","5,695.43","5,634.98","5,703.56","5,634.97","-","1.07%"
"Jan 04, 2018","5,634.98","5,616.47","5,641.31","5,616.35","-","0.33%"
"Jan 03, 2018","5,616.47","5,618.91","5,644.69","5,594.96","-","-0.04%"
"Jan 02, 2018","5,618.91","5,565.63","5,627.46","5,558.54","-","0.98%"
"Dec 29, 2017","5,564.60","5,550.93","5,575.24","5,543.35","-","0.25%"
"Dec 28, 2017","5,550.93","5,496.25","5,556.44","5,496.25","-","0.99%"
"Dec 27, 2017","5,496.25","5,514.74","5,519.76","5,478.55","-","-0.34%"
"Dec 26, 2017","5,514.74","5,537.76","5,539.55","5,500.27","-","-0.41%"
"Dec 22, 2017","5,537.60","5,450.83","5,545.61","5,450.83","-","1.59%"
"Dec 21, 2017","5,450.83","5,528.71","5,548.53","5,448.14","-","-1.41%"
"Dec 20, 2017","5,528.71","5,588.09","5,601.59","5,516.36","-","-1.06%"
"Dec 19, 2017","5,588.09","5,595.65","5,641.26","5,542.54","-","-0.14%"
"Dec 18, 2017","5,595.65","5,237.87","5,646.00","5,237.87","-","6.90%"
"Dec 15, 2017","5,234.64","5,121.26","5,283.30","5,121.26","-","2.25%"
"Dec 14, 2017","5,119.30","5,135.29","5,168.99","5,103.65","-","-0.31%"
