"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 2017","7,310.00","7,343.10","7,370.00","7,281.00","103.71K","-0.45%"
"Jun 23, 2017","7,343.10","7,355.50","7,485.00","7,301.00","142.43K","-0.17%"
"Jun 22, 2017","7,355.50","7,287.20","7,415.00","7,287.20","159.86K","0.94%"
"Jun 21, 2017","7,287.20","7,437.50","7,405.00","7,110.00","249.12K","-2.02%"
"Jun 20, 2017","7,437.50","7,458.30","7,500.00","7,400.00","309.47K","-0.28%"
"Jun 19, 2017","7,458.30","7,465.00","7,519.70","7,400.00","90.85K","-0.78%"
"Jun 16, 2017","7,517.20","7,453.40","7,600.00","7,435.90","838.30K","0.86%"
"Jun 15, 2017","7,453.40","7,548.30","7,548.30","7,410.00","56.32K","-1.26%"
"Jun 14, 2017","7,548.30","7,567.40","7,566.20","7,489.00","719.28K","-0.25%"
"Jun 13, 2017","7,567.40","7,554.70","7,640.00","7,505.00","110.08K","0.17%"
"Jun 12, 2017","7,554.70","7,468.60","7,600.00","7,468.60","189.58K","1.15%"
"Jun 09, 2017","7,468.60","7,526.90","7,598.00","7,450.00","125.27K","-0.77%"
"Jun 08, 2017","7,526.90","7,596.30","7,600.00","7,504.90","129.22K","-0.91%"
"Jun 07, 2017","7,596.30","7,643.70","7,643.50","7,590.00","116.35K","-0.62%"
"Jun 06, 2017","7,643.70","7,590.00","7,648.90","7,590.00","131.11K","0.71%"
"Jun 05, 2017","7,590.00","7,639.60","7,648.90","7,589.90","74.87K","-0.65%"
"Jun 02, 2017","7,639.60","7,546.60","7,650.10","7,500.10","192.10K","1.23%"
"Jun 01, 2017","7,546.60","7,493.30","7,589.90","7,320.00","147.29K","0.71%"
"May 31, 2017","7,493.30","7,432.00","7,550.00","7,406.00","445.30K","0.82%"
"May 30, 2017","7,432.00","7,492.10","7,500.00","7,430.00","257.63K","-0.80%"
"May 29, 2017","7,492.10","7,469.10","7,499.60","7,450.00","38.07K","0.31%"
"May 26, 2017","7,469.10","7,499.60","7,500.00","7,421.00","78.11K","-0.41%"
"May 25, 2017","7,499.60","7,536.50","7,540.00","7,456.00","136.97K","-0.49%"
"May 24, 2017","7,536.50","7,464.90","7,595.00","7,457.80","167.22K","0.96%"
"May 23, 2017","7,464.90","7,515.50","7,530.00","7,320.00","420.22K","-0.67%"
"May 22, 2017","7,515.50","7,653.10","7,650.00","7,515.00","104.71K","-1.80%"
"May 19, 2017","7,653.10","7,628.40","7,687.00","7,610.00","59.80K","0.32%"
"May 18, 2017","7,628.40","7,638.40","7,690.00","7,600.00","269.82K","-0.13%"
"May 17, 2017","7,638.40","7,620.80","7,653.00","7,525.00","281.42K","0.23%"
"May 16, 2017","7,620.80","7,621.00","7,677.00","7,586.00","233.68K","-0.00%"
"May 15, 2017","7,621.00","7,649.70","7,665.00","7,590.00","326.30K","-0.38%"
"May 12, 2017","7,649.70","7,600.80","7,682.00","7,600.00","180.50K","0.64%"
"May 11, 2017","7,600.80","7,600.00","7,698.00","7,571.00","334.00K","0.01%"
"May 10, 2017","7,600.00","7,677.50","7,897.90","7,513.00","1.13M","-1.01%"
"May 09, 2017","7,677.50","7,976.00","8,000.00","7,630.00","455.27K","-3.75%"
"May 08, 2017","7,976.60","8,055.90","8,110.00","7,966.00","152.01K","-0.98%"
"May 05, 2017","8,055.90","8,064.70","8,140.00","8,000.10","94.18K","-0.11%"
"May 04, 2017","8,064.70","8,138.00","8,148.70","8,001.20","210.07K","-0.90%"
"May 03, 2017","8,138.00","8,150.20","8,163.00","7,925.00","169.51K","-0.15%"
"May 02, 2017","8,150.20","8,010.60","8,168.20","8,010.00","181.52K","1.74%"
"Apr 28, 2017","8,010.60","8,036.30","8,139.90","8,000.00","144.79K","-0.32%"
"Apr 27, 2017","8,036.30","8,243.10","8,239.90","7,974.10","126.33K","-2.51%"
"Apr 26, 2017","8,243.10","8,172.10","8,290.00","8,146.90","132.12K","0.87%"
"Apr 25, 2017","8,172.10","8,114.70","8,230.00","8,115.00","151.42K","0.71%"
"Apr 24, 2017","8,114.70","8,123.20","8,292.90","8,060.10","153.78K","-0.10%"
"Apr 21, 2017","8,123.20","8,127.80","8,159.00","8,005.00","188.18K","-0.06%"
"Apr 20, 2017","8,127.80","8,185.50","8,215.00","8,100.00","308.97K","-0.70%"
"Apr 18, 2017","8,185.50","8,313.50","8,300.00","8,106.10","217.15K","-1.54%"
"Apr 17, 2017","8,313.50","8,223.60","8,382.00","8,223.60","119.01K","1.09%"
"Apr 13, 2017","8,223.60","8,300.40","8,299.00","8,106.10","46.18K","-0.93%"
"Apr 12, 2017","8,300.40","8,180.10","8,370.00","8,025.00","470.50K","1.47%"
"Apr 11, 2017","8,180.10","8,156.70","8,240.00","7,981.00","265.28K","0.29%"
"Apr 10, 2017","8,156.70","8,101.50","8,200.00","8,100.00","117.33K","0.68%"
"Apr 07, 2017","8,101.50","8,200.20","8,238.90","8,060.00","111.55K","-1.20%"
"Apr 06, 2017","8,200.20","8,196.00","8,238.90","8,130.40","83.26K","0.05%"
"Apr 05, 2017","8,196.00","8,123.70","8,200.00","8,120.00","627.94K","0.89%"
